Circuitos Practica 0.5 
    -----A-----       
    A B C D | X
    0 0 0 0 | 1
    0 0 0 1 | 1
    0 0 1 0 | 1
    0 0 1 1 | 1
    0 1 0 0 | 1
    0 1 0 1 | 1
    0 1 1 0 | 1
    0 1 1 1 | 1
    1 0 0 0 | 1
    1 0 0 1 | 1
    1 0 1 0 | 1
    1 0 1 1 | 1
    1 1 0 0 | 0
    1 1 0 1 | 1
    1 1 1 0 | 1
    1 1 1 1 | 1

    ----B----       
    A B C | X
    0 0 0 | 0
    0 0 1 | 1
    0 1 0 | 1
    0 1 1 | 1
    1 0 0 | 1
    1 0 1 | 1
    1 1 0 | 1
    1 1 1 | 1

    ----C----       
    A B C | X
    0 0 0 | 0
    0 0 1 | 0
    0 1 0 | 0
    0 1 1 | 1
    1 0 0 | 1
    1 0 1 | 1
    1 1 0 | 0
    1 1 1 | 1

    -----D-----       
    A B C | X
    0 0 0 | 0
    0 0 1 | 0
    0 1 0 | 1
    0 1 1 | 1
    1 0 0 | 0
    1 0 1 | 0
    1 1 0 | 1
    1 1 1 | 1

    -----E-----       
    A B C D | X
    0 0 0 0 | 0
    0 0 0 1 | 0
    0 0 1 0 | 0
    0 0 1 1 | 0
    0 1 0 0 | 0
    0 1 0 1 | 0
    0 1 1 0 | 1
    0 1 1 1 | 0
    1 0 0 0 | 0
    1 0 0 1 | 0
    1 0 1 0 | 0
    1 0 1 1 | 0
    1 1 0 0 | 0
    1 1 0 1 | 0
    1 1 1 0 | 0
    1 1 1 1 | 0

    ------F------   
    A B C D E | X
    0 0 0 0 0 | 0
    0 0 0 0 1 | 1
    0 0 0 1 0 | 0
    0 0 0 1 1 | 1
    0 0 1 0 0 | 0
    0 0 1 0 1 | 1
    0 0 1 1 0 | 1
    0 0 1 1 1 | 1
    0 1 0 0 0 | 0
    0 1 0 0 1 | 1
    0 1 0 1 0 | 0
    0 1 0 1 1 | 1
    0 1 1 0 0 | 0
    0 1 1 0 1 | 1
    0 1 1 1 0 | 0
    0 1 1 1 1 | 1
    1 0 0 0 0 | 0
    1 0 0 0 1 | 1
    1 0 0 1 0 | 0
    1 0 0 1 1 | 1
    1 0 1 0 0 | 0
    1 0 1 0 1 | 0
    1 0 1 1 0 | 1
    1 0 1 1 1 | 1
    1 1 0 0 0 | 0
    1 1 0 0 1 | 1
    1 1 0 1 0 | 0
    1 1 0 1 1 | 1
    1 1 1 0 0 | 0
    1 1 1 0 1 | 0
    1 1 1 1 0 | 1
    1 1 1 1 1 | 1
    
    ----G----       
    A B C | X
    0 0 0 | 0
    0 0 1 | 1
    0 1 0 | 0
    0 1 1 | 1
    1 0 0 | 0
    1 0 1 | 1
    1 1 0 | 1
    1 1 1 | 1

    ----H----       
    A B C | X
    0 0 0 | 0
    0 0 1 | 0
    0 1 0 | 0
    0 1 1 | 1
    1 0 0 | 0
    1 0 1 | 1
    1 1 0 | 0
    1 1 1 | 1


